metric,value,embedding
silhouette_batch,0.09756617248058319,before_harmony
silhouette_condition,0.11335481703281403,before_harmony
silhouette_cell_type,0.15544921159744263,before_harmony
neighbor_same_batch,0.9949773764222563,before_harmony
neighbor_same_condition,0.9728214157248064,before_harmony
neighbor_same_cell_type,0.909496223093088,before_harmony
silhouette_batch,-0.016280416399240494,after_harmony
silhouette_condition,-0.0025789926294237375,after_harmony
silhouette_cell_type,0.2105603963136673,after_harmony
neighbor_same_batch,0.7762670150129684,after_harmony
neighbor_same_condition,0.756218170803279,after_harmony
neighbor_same_cell_type,0.9089490922171106,after_harmony
