representation,model_family,classifier,mean_macro_f1,mean_balanced_accuracy,worst_macro_f1,n_directions,priority_w05,priority_simple
DAE-32-LR-noise0.05,dae_latent_lr,Logistic Regression,0.5519314334154851,0.6580182638855301,0.4798868289736999,2,1,1
DAE-32-LR-noise0.10,dae_latent_lr,Logistic Regression,0.5336578729113226,0.6337415717916501,0.4867529757625527,2,1,1
PCA-50-LR,pca_baseline,Logistic Regression,0.8238265897041226,0.8576404827008126,0.7462575626085457,2,1,1
PCA-50-MLP,pca_baseline,MLP,0.7909344026038709,0.7706688748224685,0.7131201374341793,2,1,1
SupDAE-32-head-w0.25-noise0.05,supdae,Supervised Head,0.8142904900069252,0.8064715179215435,0.7537174997044926,2,1,0
SupDAE-32-head-w0.25-noise0.10,supdae,Supervised Head,0.802824876103014,0.7971177225515669,0.7424202843692154,2,1,0
SupDAE-32-head-w0.5-noise0.05,supdae,Supervised Head,0.8168452043595446,0.8080902493103406,0.7515259684760953,2,0,0
SupDAE-32-head-w0.5-noise0.10,supdae,Supervised Head,0.8001069298014805,0.788474415903791,0.7424378492331809,2,0,0
SupDAE-32-head-w1-noise0.05,supdae,Supervised Head,0.8176399528834406,0.8077353149075979,0.7501922386965336,2,1,0
SupDAE-32-head-w1-noise0.10,supdae,Supervised Head,0.7995873883829634,0.7864741392025328,0.7484621293608401,2,1,0
