cell_type,precision,recall,f1_score,support,representation,split
B cells,0.9658273381294964,0.9572192513368984,0.9615040286481648,561.0,PCA-50,val
CD14+ Monocytes,0.9612326043737575,0.907981220657277,0.9338483824239497,1065.0,PCA-50,val
CD4 T cells,0.9800181653042689,0.9469065379552435,0.9631778620843562,2279.0,PCA-50,val
CD8 T cells,0.7495621716287215,0.8458498023715415,0.7948003714020427,506.0,PCA-50,val
Dendritic cells,0.719626168224299,0.8369565217391305,0.7738693467336684,92.0,PCA-50,val
FCGR3A+ Monocytes,0.7452574525745257,0.8566978193146417,0.7971014492753623,321.0,PCA-50,val
Megakaryocytes,0.48484848484848486,0.8421052631578947,0.6153846153846154,38.0,PCA-50,val
NK cells,0.9094736842105263,0.8816326530612245,0.8953367875647669,490.0,PCA-50,val
B cells,0.9782608695652174,0.9625668449197861,0.9703504043126685,561.0,PCA-50,test
CD14+ Monocytes,0.956140350877193,0.9211267605633803,0.9383070301291249,1065.0,PCA-50,test
CD4 T cells,0.9763743752839619,0.9429574374725757,0.959375,2279.0,PCA-50,test
CD8 T cells,0.7688172043010753,0.8478260869565217,0.806390977443609,506.0,PCA-50,test
Dendritic cells,0.7788461538461539,0.8709677419354839,0.8223350253807107,93.0,PCA-50,test
FCGR3A+ Monocytes,0.7832369942196532,0.8442367601246106,0.8125937031484258,321.0,PCA-50,test
Megakaryocytes,0.4925373134328358,0.8918918918918919,0.6346153846153846,37.0,PCA-50,test
NK cells,0.9098196392785571,0.924643584521385,0.9171717171717172,491.0,PCA-50,test
B cells,0.9707495429616088,0.946524064171123,0.9584837545126353,561.0,DAE-32,val
CD14+ Monocytes,0.9474216380182002,0.8798122065727699,0.9123661148977604,1065.0,DAE-32,val
CD4 T cells,0.9740985271711529,0.8415971917507679,0.9030131826741996,2279.0,DAE-32,val
CD8 T cells,0.6759098786828422,0.7707509881422925,0.7202216066481995,506.0,DAE-32,val
Dendritic cells,0.6451612903225806,0.8695652173913043,0.7407407407407407,92.0,DAE-32,val
FCGR3A+ Monocytes,0.7588235294117647,0.8037383177570093,0.7806354009077155,321.0,DAE-32,val
Megakaryocytes,0.03903903903903904,0.34210526315789475,0.07008086253369272,38.0,DAE-32,val
NK cells,0.864693446088795,0.8346938775510204,0.8494288681204569,490.0,DAE-32,val
B cells,0.9709090909090909,0.9518716577540107,0.9612961296129613,561.0,DAE-32,test
CD14+ Monocytes,0.9519038076152304,0.892018779342723,0.9209888511875909,1065.0,DAE-32,test
CD4 T cells,0.9769654481722584,0.8560772268538833,0.912535079513564,2279.0,DAE-32,test
CD8 T cells,0.6710963455149501,0.7984189723320159,0.7292418772563177,506.0,DAE-32,test
Dendritic cells,0.719626168224299,0.8279569892473119,0.77,93.0,DAE-32,test
FCGR3A+ Monocytes,0.7905604719764012,0.8348909657320872,0.8121212121212121,321.0,DAE-32,test
Megakaryocytes,0.06622516556291391,0.5405405405405406,0.11799410029498525,37.0,DAE-32,test
NK cells,0.8820960698689956,0.8228105906313645,0.8514225500526871,491.0,DAE-32,test
