cell_type,precision,recall,f1_score,support,representation,split
B cells,0.9658273381294964,0.9572192513368984,0.9615040286481648,561.0,PCA-50,val
CD14+ Monocytes,0.9612326043737575,0.907981220657277,0.9338483824239497,1065.0,PCA-50,val
CD4 T cells,0.9800181653042689,0.9469065379552435,0.9631778620843562,2279.0,PCA-50,val
CD8 T cells,0.7495621716287215,0.8458498023715415,0.7948003714020427,506.0,PCA-50,val
Dendritic cells,0.719626168224299,0.8369565217391305,0.7738693467336684,92.0,PCA-50,val
FCGR3A+ Monocytes,0.7452574525745257,0.8566978193146417,0.7971014492753623,321.0,PCA-50,val
Megakaryocytes,0.48484848484848486,0.8421052631578947,0.6153846153846154,38.0,PCA-50,val
NK cells,0.9094736842105263,0.8816326530612245,0.8953367875647669,490.0,PCA-50,val
B cells,0.9782608695652174,0.9625668449197861,0.9703504043126685,561.0,PCA-50,test
CD14+ Monocytes,0.956140350877193,0.9211267605633803,0.9383070301291249,1065.0,PCA-50,test
CD4 T cells,0.9763743752839619,0.9429574374725757,0.959375,2279.0,PCA-50,test
CD8 T cells,0.7688172043010753,0.8478260869565217,0.806390977443609,506.0,PCA-50,test
Dendritic cells,0.7788461538461539,0.8709677419354839,0.8223350253807107,93.0,PCA-50,test
FCGR3A+ Monocytes,0.7832369942196532,0.8442367601246106,0.8125937031484258,321.0,PCA-50,test
Megakaryocytes,0.4925373134328358,0.8918918918918919,0.6346153846153846,37.0,PCA-50,test
NK cells,0.9098196392785571,0.924643584521385,0.9171717171717172,491.0,PCA-50,test
B cells,0.969147005444646,0.9518716577540107,0.960431654676259,561.0,DAE-32-LR-noise0.10,val
CD14+ Monocytes,0.9526686807653575,0.888262910798122,0.9193391642371235,1065.0,DAE-32-LR-noise0.10,val
CD4 T cells,0.9744245524296675,0.8358929354980255,0.8998582900330656,2279.0,DAE-32-LR-noise0.10,val
CD8 T cells,0.6488188976377953,0.8142292490118577,0.7221735319894829,506.0,DAE-32-LR-noise0.10,val
Dendritic cells,0.6528925619834711,0.8586956521739131,0.7417840375586855,92.0,DAE-32-LR-noise0.10,val
FCGR3A+ Monocytes,0.7823529411764706,0.8286604361370716,0.8048411497730711,321.0,DAE-32-LR-noise0.10,val
Megakaryocytes,0.03322259136212625,0.2631578947368421,0.058997050147492625,38.0,DAE-32-LR-noise0.10,val
NK cells,0.9078947368421053,0.8448979591836735,0.8752642706131079,490.0,DAE-32-LR-noise0.10,val
B cells,0.9726775956284153,0.9518716577540107,0.9621621621621622,561.0,DAE-32-LR-noise0.10,test
CD14+ Monocytes,0.9516288252714709,0.9051643192488263,0.9278152069297402,1065.0,DAE-32-LR-noise0.10,test
CD4 T cells,0.9749498997995992,0.8538832821412901,0.9104093567251462,2279.0,DAE-32-LR-noise0.10,test
CD8 T cells,0.6608832807570978,0.8280632411067194,0.7350877192982456,506.0,DAE-32-LR-noise0.10,test
Dendritic cells,0.6721311475409836,0.8817204301075269,0.7627906976744186,93.0,DAE-32-LR-noise0.10,test
FCGR3A+ Monocytes,0.821875,0.8193146417445483,0.8205928237129485,321.0,DAE-32-LR-noise0.10,test
Megakaryocytes,0.06614785992217899,0.4594594594594595,0.11564625850340136,37.0,DAE-32-LR-noise0.10,test
NK cells,0.9090909090909091,0.8553971486761711,0.881427072402938,491.0,DAE-32-LR-noise0.10,test
