cell_type,precision,recall,f1_score,support,representation,split
B cells,0.9797421731123389,0.9637681159420289,0.971689497716895,552.0,PCA-50,val
CD14+ Monocytes,0.9786585365853658,0.9250720461095101,0.9511111111111111,1041.0,PCA-50,val
CD4 T cells,0.9803203661327231,0.941952506596306,0.9607535321821036,2274.0,PCA-50,val
CD8 T cells,0.7597173144876325,0.86,0.8067542213883677,500.0,PCA-50,val
Dendritic cells,0.6491228070175439,0.9024390243902439,0.7551020408163265,82.0,PCA-50,val
FCGR3A+ Monocytes,0.8147058823529412,0.8906752411575563,0.8509984639016898,311.0,PCA-50,val
Megakaryocytes,0.45714285714285713,0.8648648648648649,0.5981308411214953,37.0,PCA-50,val
NK cells,0.9125,0.9030927835051547,0.9077720207253887,485.0,PCA-50,val
B cells,0.9669724770642202,0.9529837251356239,0.9599271402550091,553.0,PCA-50,test
CD14+ Monocytes,0.968937875751503,0.9289145052833814,0.9485041687101521,1041.0,PCA-50,test
CD4 T cells,0.9772313296903461,0.9432967032967033,0.959964213822411,2275.0,PCA-50,test
CD8 T cells,0.7431506849315068,0.868,0.8007380073800738,500.0,PCA-50,test
Dendritic cells,0.693069306930693,0.8536585365853658,0.7650273224043715,82.0,PCA-50,test
FCGR3A+ Monocytes,0.7869822485207101,0.8580645161290322,0.8209876543209876,310.0,PCA-50,test
Megakaryocytes,0.5079365079365079,0.8648648648648649,0.64,37.0,PCA-50,test
NK cells,0.9344978165938864,0.8824742268041237,0.9077412513255567,485.0,PCA-50,test
B cells,0.9732142857142857,0.9873188405797102,0.9802158273381295,552.0,SupDAE-32-head-w0.5-noise0.10,val
CD14+ Monocytes,0.9519408502772643,0.989433237271854,0.970325011775789,1041.0,SupDAE-32-head-w0.5-noise0.10,val
CD4 T cells,0.97506678539626,0.9630606860158312,0.9690265486725663,2274.0,SupDAE-32-head-w0.5-noise0.10,val
CD8 T cells,0.75,0.864,0.8029739776951673,500.0,SupDAE-32-head-w0.5-noise0.10,val
Dendritic cells,0.9117647058823529,0.7560975609756098,0.8266666666666667,82.0,SupDAE-32-head-w0.5-noise0.10,val
FCGR3A+ Monocytes,0.9563636363636364,0.8456591639871383,0.8976109215017065,311.0,SupDAE-32-head-w0.5-noise0.10,val
Megakaryocytes,0.9444444444444444,0.4594594594594595,0.6181818181818182,37.0,SupDAE-32-head-w0.5-noise0.10,val
NK cells,0.925601750547046,0.8721649484536083,0.8980891719745223,485.0,SupDAE-32-head-w0.5-noise0.10,val
B cells,0.9695885509838998,0.9801084990958409,0.9748201438848921,553.0,SupDAE-32-head-w0.5-noise0.10,test
CD14+ Monocytes,0.9434137291280148,0.9769452449567724,0.9598867390278433,1041.0,SupDAE-32-head-w0.5-noise0.10,test
CD4 T cells,0.9657473309608541,0.9542857142857143,0.9599823126243644,2275.0,SupDAE-32-head-w0.5-noise0.10,test
CD8 T cells,0.7395833333333334,0.852,0.79182156133829,500.0,SupDAE-32-head-w0.5-noise0.10,test
Dendritic cells,0.9661016949152542,0.6951219512195121,0.8085106382978723,82.0,SupDAE-32-head-w0.5-noise0.10,test
FCGR3A+ Monocytes,0.9055944055944056,0.8354838709677419,0.8691275167785235,310.0,SupDAE-32-head-w0.5-noise0.10,test
Megakaryocytes,0.9473684210526315,0.4864864864864865,0.6428571428571429,37.0,SupDAE-32-head-w0.5-noise0.10,test
NK cells,0.9475982532751092,0.8948453608247423,0.9204665959703076,485.0,SupDAE-32-head-w0.5-noise0.10,test
